店名	分類	介紹	地址	地圖連結	電話	價位	優惠資訊	標籤	照片1	照片2	照片3	照片4	照片5	照片6	照片7	照片8	照片9	照片10	店家屬性	營業時間	經緯度	foodpanda訂餐連結
涮乃葉日式涮涮鍋（忠孝明曜店）	火鍋	日式涮涮鍋吃到飽，蔬菜甜點自助吧無限供應，澎湃肉盤，鄰近捷運忠孝敦化站3號出口	台北市大安區忠孝東路四段200號11樓（明曜百貨）	https://maps.google.com/?q=台北市大安區忠孝東路四段200號11樓	(02)2711-7229	$$		日式火鍋、吃到飽、明曜百貨							附近店家	11:00-21:30	25.0418,121.5497
NARA Thai Cuisine（忠孝SOGO店）	異國料理	連續多年米其林推薦泰式料理，道地泰國風味	台北市大安區忠孝東路四段45號11F（遠東SOGO忠孝館）	https://maps.google.com/?q=台北市大安區忠孝東路四段45號11樓	(02)2771-8939	$$		泰式料理、米其林推薦、SOGO百貨							附近店家	週日~四 11:00-21:30；週五六 11:00-22:00	25.0415,121.5469
Solo Pasta 義大利麵	異國料理	台北東區最強義大利麵，Google評價4.6星破萬則，南義正宗料理	台北市大安區安和路一段29-1號	https://maps.google.com/?q=台北市大安區安和路一段29-1號	(02)2775-3645	$$		義大利麵、東區名店、聚餐推薦							附近店家	11:30-15:00、17:30-22:00	25.0378,121.5469
Toasteria Cafe 吐司利亞（敦南店）	早午餐	地中海風味料理與早午餐，經典帕尼尼三明治，東區隱藏巷弄美食	台北市大安區敦化南路一段169巷3號	https://maps.google.com/?q=台北市大安區敦化南路一段169巷3號	(02)2752-0033	$$		地中海料理、早午餐、深夜餐廳							附近店家	週一~五 11:00-01:00；週六日 09:00-01:00	25.0393,121.5489
波記茶餐廳	中餐	重現香港懷舊風情的正宗茶餐廳，港式奶茶、菠蘿包一應俱全	台北市大安區延吉街70巷8號	https://maps.google.com/?q=台北市大安區延吉街70巷8號	(02)8773-1913	$		港式茶餐廳、懷舊港風、延吉街							附近店家	11:30-22:00	25.0405,121.5497
牛肉麵．雞湯	麵食	老母雞熬足24小時湯底，名廚也朝聖的東區宵夜排隊店	台北市大安區敦化南路一段164號	https://maps.google.com/?q=台北市大安區敦化南路一段164號	(02)2778-7776	$		牛肉麵、宵夜、排隊名店							附近店家	18:00-04:00	25.0421,121.5497
睦月拉麵	麵食	日式拉麵專賣店，全台獨創藥膳雞白湯，木質裝潢偽出國感	台北市大安區忠孝東路四段216巷33弄6號	https://maps.google.com/?q=台北市大安區忠孝東路四段216巷33弄6號	(02)2778-1988	$$		日式拉麵、藥膳湯底、東區巷弄							附近店家	12:00-21:30	25.0413,121.5499
度小月擔仔麵（忠孝店）	中餐	台南百年老店擔仔麵進軍台北，傳承百年府城小吃精髓	台北市大安區忠孝東路四段216巷8弄12號	https://maps.google.com/?q=台北市大安區忠孝東路四段216巷8弄12號	(02)2773-1244	$$		擔仔麵、台南老店、府城小吃							附近店家	11:00-15:00、16:30-20:45	25.0412,121.5498
發肉燒肉餐酒（忠孝二店）	燒肉	東區人氣燒肉餐酒館，單點燒肉豐盛，氣氛歡樂，假日也開午餐	台北市大安區忠孝東路四段170巷17弄12號	https://maps.google.com/?q=台北市大安區忠孝東路四段170巷17弄12號	(02)2775-1103	$$		燒肉、餐酒館、單點燒烤							附近店家	週一~五 17:30-23:00；週六日 11:30-23:00	25.0415,121.5489
上吉燒肉	燒肉	頂級和牛燒肉，提供A5日本和牛與Prime美國牛，日籍料理長桌邊服務	台北市大安區延吉街131巷41號	https://maps.google.com/?q=台北市大安區延吉街131巷41號	(02)8772-5765	$$$		頂級和牛、燒肉、約會推薦							附近店家	11:00-14:30、17:00-23:00	25.0408,121.5495
